,playerName,PlayerID,Position,Mins,Passes Completed,Passes Attempted,Pass Completion Rate,Forward Passes,Long Passes,xT via Pass,npxG,xA,Shots,Tackles,Interceptions,Fouls,Aerials,Recoveries,Ball Wins,Touches,Box Touches,Final 1/3 Touches,Progressive Passes,Progressive Carries,Box Passes,Box Carries,Successful Take Ons,xT Carry,xT Received
14,Adam Lallana,21683,Center Mid,82,43.0,48.0,0.8958333333333334,15.0,0.0,0.026818269999999998,0.0,0.04807765409350395,0.0,1.0,0.0,0.0,1.0,2.0,0.0,53.0,4.0,27.0,1.0,0.0,2.0,0.0,0.0,0.016951000000000004,0.24296293
15,Adam Lallana,21683,Forward,25,10.0,11.0,0.9090909090909091,5.0,0.0,0.04613337,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,15.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0017300999999999983,0.028566329999999994
16,Adam Lallana,21683,Full Back,37,26.0,27.0,0.9629629629629629,9.0,0.0,0.12367929999999999,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35.0,4.0,15.0,1.0,0.0,3.0,0.0,0.0,0.004771079999999997,0.19292028
17,Adam Smith,69877,Center Mid,9,9.0,11.0,0.8181818181818182,4.0,0.0,0.043787679999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.00377069
18,Adam Smith,69877,Full Back,2234,750.0,984.0,0.7621951219512195,413.0,23.0,3.66896008,0.019711266737431288,1.498997736722231,2.0,35.0,21.0,48.0,18.0,85.0,31.0,1220.0,12.0,288.0,95.0,10.0,25.0,1.0,4.0,0.30249071000000005,0.5342433799999999
19,Adam Webster,109922,Center Back,870,756.0,832.0,0.9086538461538461,503.0,20.0,1.17224891,0.25533060915768147,0.2092767283320427,5.0,12.0,11.0,6.0,24.0,46.0,17.0,911.0,8.0,49.0,43.0,8.0,1.0,1.0,0.0,0.45519194,0.8992232199999999
20,Adam Webster,109922,Center Mid,19,25.0,27.0,0.9259259259259259,16.0,1.0,0.08315803999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,10.0,2.0,0.0,1.0,0.0,0.0,0.005225079999999998,0.016462670000000006
21,Adam Webster,109922,Full Back,54,48.0,51.0,0.9411764705882353,26.0,2.0,0.14428788000000003,0.0,0.08535510301589966,0.0,0.0,1.0,0.0,2.0,1.0,0.0,54.0,0.0,16.0,3.0,0.0,1.0,0.0,0.0,0.02504735000000001,0.033298209999999995
22,Adam Wharton,430774,Center Back,67,23.0,27.0,0.8518518518518519,12.0,1.0,0.015014989999999997,0.0,0.0,0.0,2.0,2.0,3.0,0.0,4.0,2.0,41.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.011378240000000003,0.01888183
23,Adam Wharton,430774,Center Mid,1124,360.0,465.0,0.7741935483870968,201.0,22.0,1.5532645600000001,0.3717454932630062,2.656391881406307,9.0,42.0,17.0,29.0,7.0,64.0,40.0,630.0,4.0,155.0,44.0,7.0,17.0,1.0,1.0,0.15585964000000002,0.4966782499999999
24,Adama Traoré,140088,Attacking Mid/Winger,227,57.0,84.0,0.6785714285714286,28.0,1.0,0.8466215899999998,1.1529418975114822,0.12323727644979954,8.0,4.0,1.0,4.0,6.0,7.0,4.0,139.0,14.0,82.0,13.0,22.0,8.0,7.0,7.0,0.45373083000000003,0.7696466499999998
25,Adama Traoré,140088,Center Mid,62,12.0,20.0,0.6,7.0,1.0,0.17733516,0.026507936418056488,0.38264821469783783,1.0,0.0,0.0,2.0,0.0,2.0,0.0,32.0,6.0,18.0,4.0,3.0,3.0,3.0,2.0,0.09278854,0.14475261
26,Adama Traoré,140088,Forward,11,3.0,4.0,0.75,1.0,0.0,0.0025646799999999997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.010362779999999999,0.01568299
27,Albert Sambi Lokonga,349102,Center Mid,1207,572.0,654.0,0.8746177370030581,327.0,36.0,1.2722494400000004,0.42841631453484297,1.4516366682946682,7.0,28.0,8.0,41.0,12.0,54.0,23.0,828.0,9.0,157.0,39.0,16.0,7.0,3.0,11.0,0.4535124,0.5855021699999999
28,Alejandro Garnacho,437022,Attacking Mid/Winger,2453,607.0,798.0,0.7606516290726817,183.0,17.0,2.94257067,8.629549823701382,4.391783446073532,87.0,21.0,17.0,73.0,6.0,95.0,24.0,1311.0,239.0,735.0,42.0,137.0,50.0,107.0,39.0,3.611559560000001,7.1604689399999994
29,Alejandro Garnacho,437022,Forward,18,4.0,5.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,5.0,0.0,2.0,0.0,2.0,0.0,0.02896319999999999,0.050052780000000005
30,Alejandro Garnacho,437022,Full Back,8,3.0,5.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0001071899999999966,0.06349771
31,Alejo Véliz,414269,Attacking Mid/Winger,41,3.0,6.0,0.5,0.0,0.0,0.004074240000000003,0.5825733542442322,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,4.0,8.0,0.0,2.0,0.0,1.0,1.0,0.16324105,0.08821723
32,Alejo Véliz,414269,Center Mid,2,0.0,0.0,,0.0,0.0,0.015112140000000003,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005311740000000002
33,Alejo Véliz,414269,Forward,15,2.0,4.0,0.5,1.0,0.0,0.04721238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033885429999999994
34,Aleksandar Mitrovic,115279,Forward,37,4.0,8.0,0.5,2.0,1.0,0.04020497,0.15044981241226196,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,14.0,4.0,6.0,1.0,0.0,1.0,1.0,3.0,0.00551751,0.06183606999999999
35,Alex Iwobi,136824,Attacking Mid/Winger,2008,649.0,859.0,0.7555296856810244,330.0,29.0,4.730147779999999,5.156462527811527,4.651536790654063,46.0,23.0,13.0,13.0,5.0,119.0,25.0,1132.0,83.0,503.0,111.0,80.0,63.0,30.0,32.0,1.92474207,4.93900288
36,Alex Iwobi,136824,Center Mid,320,132.0,155.0,0.8516129032258064,79.0,7.0,0.27505235,0.3917030617594719,0.29776033014059067,8.0,5.0,2.0,3.0,1.0,24.0,4.0,201.0,4.0,73.0,10.0,4.0,1.0,2.0,6.0,0.23135133000000002,0.26855804
37,Alex Matos,502567,Center Mid,1,0.0,0.0,,0.0,0.0,0.008481599999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Alex Murphy,492690,Attacking Mid/Winger,5,4.0,4.0,1.0,2.0,0.0,0.00536497,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Alex Murphy,492690,Full Back,11,13.0,13.0,1.0,8.0,0.0,0.030730740000000006,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,16.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.00960675,0.012909690000000003
40,Alex Scott,410998,Attacking Mid/Winger,363,102.0,144.0,0.7083333333333334,56.0,5.0,0.35323218,0.33359072729945183,0.40835684165358543,7.0,13.0,4.0,15.0,6.0,21.0,12.0,223.0,20.0,102.0,15.0,2.0,9.0,6.0,1.0,0.1319638,0.69947536
41,Alex Scott,410998,Center Mid,701,222.0,277.0,0.8014440433212996,108.0,8.0,0.93579798,0.3964649997651577,1.6021077167242765,7.0,10.0,8.0,26.0,8.0,40.0,15.0,391.0,11.0,107.0,19.0,13.0,13.0,4.0,11.0,0.52277981,0.36530187999999997
42,Alex Scott,410998,Full Back,20,15.0,20.0,0.75,5.0,0.0,0.029153480000000002,0.07351953536272049,0.09391380101442337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,14.0,3.0,3.0,2.0,0.0,0.0,0.02875148999999999,0.0218321
43,Alexander Isak,299254,Center Mid,60,16.0,20.0,0.8,9.0,0.0,0.26577321000000004,0.0,0.056449487805366516,0.0,1.0,1.0,0.0,1.0,0.0,1.0,28.0,1.0,15.0,3.0,1.0,2.0,0.0,2.0,0.022999000000000002,0.27602836000000003
44,Alexander Isak,299254,Forward,2109,324.0,416.0,0.7788461538461539,148.0,9.0,1.40519452,14.855996422469616,2.279400944709778,64.0,3.0,4.0,25.0,6.0,33.0,7.0,688.0,135.0,372.0,29.0,51.0,26.0,39.0,38.0,2.27766851,6.211726219999998
45,Alexis Mac Allister,345319,Center Mid,2659,1605.0,1850.0,0.8675675675675676,872.0,59.0,4.85692622,2.210145813645795,3.442739672958851,39.0,94.0,34.0,95.0,28.0,189.0,89.0,2318.0,28.0,548.0,138.0,28.0,47.0,5.0,18.0,0.8395689900000001,2.7541710299999997
46,Alfie Doughty,362246,Center Back,95,31.0,37.0,0.8378378378378378,21.0,2.0,0.06946315,0.210700124502182,0.0,1.0,2.0,1.0,2.0,0.0,6.0,4.0,55.0,2.0,6.0,2.0,3.0,0.0,1.0,2.0,0.04556108999999999,0.005535800000000006
47,Alfie Doughty,362246,Forward,19,3.0,8.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.007287600000000002,0.00885965
48,Alfie Doughty,362246,Full Back,2817,1028.0,1540.0,0.6675324675324675,479.0,60.0,6.958908789999999,1.6688822759315372,6.297594649717212,24.0,58.0,28.0,33.0,22.0,174.0,62.0,1921.0,75.0,803.0,217.0,66.0,104.0,26.0,30.0,1.8244843300000002,3.61696498
49,Alfie Gilchrist,467969,Attacking Mid/Winger,5,9.0,10.0,0.9,3.0,0.0,0.0076225400000000006,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013772299999999993
50,Alfie Gilchrist,467969,Center Back,3,0.0,1.0,0.0,0.0,0.0,0.014238620000000002,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Alfie Gilchrist,467969,Full Back,221,112.0,129.0,0.8682170542635659,43.0,1.0,0.10431567999999997,0.4763774536550045,0.0,5.0,3.0,2.0,3.0,2.0,8.0,4.0,165.0,5.0,48.0,6.0,1.0,1.0,0.0,1.0,0.02589514,0.38442223
52,Alisson Becker,114147,Goalkeeper,2508,942.0,1089.0,0.8650137741046832,916.0,82.0,0.9382050399999999,0.0,0.013958761468529701,0.0,0.0,0.0,5.0,6.0,34.0,0.0,1218.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.10416883,0.20236600000000002
53,Alphonse Areola,92516,Goalkeeper,2718,520.0,802.0,0.6483790523690773,513.0,173.0,1.1353684400000001,0.0,0.0,0.0,1.0,1.0,4.0,6.0,15.0,1.0,996.0,0.0,0.0,150.0,0.0,0.0,0.0,1.0,0.04548018,0.06176104000000002
54,Amad Diallo,386634,Attacking Mid/Winger,144,53.0,58.0,0.9137931034482759,15.0,1.0,0.10813945,0.09259360283613205,0.10808242484927177,2.0,2.0,0.0,5.0,0.0,7.0,2.0,81.0,9.0,33.0,2.0,2.0,3.0,3.0,2.0,0.06257832000000002,0.22373857
55,Amad Diallo,386634,Center Mid,18,14.0,17.0,0.8235294117647058,2.0,0.0,0.01125575,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,22.0,4.0,13.0,0.0,2.0,1.0,1.0,1.0,0.03631044,0.028517560000000008
56,Amad Diallo,386634,Forward,29,5.0,7.0,0.7142857142857143,4.0,0.0,0.08191318999999998,0.26384443044662476,0.1292809247970581,3.0,1.0,0.0,0.0,1.0,1.0,0.0,15.0,2.0,10.0,1.0,2.0,2.0,0.0,1.0,0.02693854,0.10313787999999999
57,Amadou Diallo,444998,Center Mid,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033624999999999974
58,Amadou Onana,400815,Attacking Mid/Winger,18,14.0,14.0,1.0,5.0,2.0,0.011832779999999998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.009116790000000001,0.019073809999999997
59,Amadou Onana,400815,Center Mid,2031,781.0,925.0,0.8443243243243244,415.0,54.0,2.2177833499999995,2.4395499425008893,2.4557125410065055,27.0,61.0,16.0,75.0,49.0,150.0,49.0,1232.0,27.0,276.0,72.0,11.0,15.0,8.0,11.0,0.4928418599999999,3.03151395
60,Amari'i Bell,141209,Center Back,1555,582.0,740.0,0.7864864864864864,388.0,28.0,1.49245475,0.0,0.2032643286511302,0.0,42.0,21.0,30.0,17.0,84.0,33.0,968.0,4.0,106.0,53.0,24.0,9.0,1.0,10.0,0.49077038,0.24022418999999998
61,Amari'i Bell,141209,Full Back,294,63.0,91.0,0.6923076923076923,42.0,1.0,0.29919077,0.2646146770566702,0.07732842862606049,2.0,8.0,4.0,8.0,3.0,14.0,5.0,145.0,2.0,19.0,6.0,0.0,1.0,0.0,0.0,0.04185615,0.28091898
62,Ameen Al Dakhil,419917,Center Back,827,448.0,515.0,0.8699029126213592,232.0,18.0,0.70490452,0.04931085556745529,0.0737396851181984,2.0,7.0,5.0,9.0,11.0,36.0,4.0,590.0,4.0,27.0,25.0,8.0,1.0,1.0,2.0,0.19873788999999997,0.3763900799999999
63,Ameen Al Dakhil,419917,Full Back,307,89.0,120.0,0.7416666666666667,38.0,2.0,0.09971158999999999,1.1432480216026306,0.0725260004401207,6.0,5.0,7.0,1.0,3.0,14.0,10.0,174.0,6.0,33.0,8.0,4.0,2.0,0.0,1.0,0.06718948,0.23947183
64,Anass Zaroury,420145,Attacking Mid/Winger,138,30.0,52.0,0.5769230769230769,8.0,0.0,0.04541060000000001,0.09525671601295471,0.0,2.0,1.0,0.0,5.0,0.0,7.0,0.0,71.0,3.0,29.0,2.0,3.0,2.0,2.0,2.0,0.06457649999999998,0.19163311
65,Anass Zaroury,420145,Center Mid,6,3.0,6.0,0.5,1.0,1.0,0.0037116300000000005,0.0,0.00830253679305315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01813090999999999
66,Anass Zaroury,420145,Forward,32,10.0,12.0,0.8333333333333334,0.0,1.0,0.0,0.07491365075111389,0.033067479729652405,1.0,0.0,0.0,2.0,0.0,1.0,0.0,14.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.03026435999999999
67,Andre Brooks,456511,Attacking Mid/Winger,200,37.0,48.0,0.7708333333333334,17.0,3.0,0.05791599,0.060121990740299225,0.0,1.0,5.0,0.0,5.0,2.0,8.0,5.0,77.0,5.0,16.0,4.0,1.0,1.0,0.0,1.0,0.013437869999999998,0.0864315
68,Andre Brooks,456511,Center Mid,558,117.0,149.0,0.785234899328859,43.0,0.0,0.22742796999999998,0.4933594763278961,0.1371864341199398,7.0,10.0,9.0,8.0,7.0,25.0,14.0,255.0,9.0,89.0,5.0,5.0,4.0,1.0,8.0,0.16452882000000002,0.4600515700000001
69,Andre Brooks,456511,Forward,40,14.0,19.0,0.7368421052631579,6.0,0.0,0.035337219999999996,0.0,0.0,0.0,2.0,1.0,3.0,1.0,5.0,1.0,31.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.004771079999999997,0.05711775
70,Andre Brooks,456511,Full Back,118,14.0,27.0,0.5185185185185185,2.0,0.0,0.0010425699999999996,0.0,0.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,40.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.009164059999999998,0.041298230000000005
71,Andreas Pereira,243254,Attacking Mid/Winger,2096,742.0,1028.0,0.7217898832684825,356.0,32.0,4.282505049999999,3.593130426015705,6.524455988779664,42.0,19.0,3.0,36.0,8.0,75.0,12.0,1272.0,49.0,569.0,125.0,30.0,82.0,17.0,13.0,1.14187482,2.8965671200000003
72,Andreas Pereira,243254,Center Mid,629,145.0,222.0,0.6531531531531531,72.0,15.0,0.72191237,0.8075486281886697,1.3890257738530636,10.0,4.0,1.0,11.0,5.0,20.0,1.0,299.0,18.0,156.0,26.0,8.0,17.0,5.0,5.0,0.21759834,0.67160327
73,Andrei Radu,296723,Goalkeeper,198,56.0,68.0,0.8235294117647058,48.0,8.0,0.051161609999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0030310600000000004,0.010598110000000004
74,Andrew Omobamidele,399490,Attacking Mid/Winger,1,0.0,0.0,,0.0,0.0,0.00385749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Andrew Omobamidele,399490,Center Back,838,271.0,310.0,0.8741935483870967,163.0,13.0,0.27512347,0.06595014780759811,0.06811400316655636,1.0,10.0,13.0,9.0,7.0,21.0,10.0,402.0,5.0,14.0,12.0,2.0,0.0,2.0,0.0,0.11233695999999999,0.5703249499999999
76,Andrey Santos,451236,Center Mid,7,6.0,6.0,1.0,3.0,0.0,0.01182825,0.11587291955947876,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0015871199999999992,0.00439166
77,Andros Townsend,71522,Attacking Mid/Winger,1120,227.0,330.0,0.6878787878787879,98.0,13.0,1.96425167,0.9062010273337364,1.573652483522892,13.0,19.0,5.0,20.0,0.0,60.0,10.0,498.0,14.0,236.0,27.0,20.0,18.0,8.0,12.0,0.62753421,0.9939293199999998
78,Andros Townsend,71522,Center Back,62,33.0,46.0,0.717391304347826,15.0,0.0,0.23762438999999996,0.06822202354669571,0.2795407474040985,1.0,1.0,0.0,0.0,0.0,2.0,0.0,54.0,5.0,30.0,7.0,5.0,5.0,3.0,0.0,0.07609181000000001,0.11732869000000003
79,Andros Townsend,71522,Center Mid,35,16.0,20.0,0.8,13.0,1.0,0.03789302,0.02914089523255825,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,1.0,9.0,1.0,1.0,0.0,0.0,1.0,0.022891960000000003,0.03155590999999999
80,Andros Townsend,71522,Forward,71,26.0,32.0,0.8125,8.0,1.0,0.04062002000000001,0.14379822090268135,0.08620892465114594,5.0,1.0,0.0,4.0,0.0,4.0,0.0,48.0,1.0,25.0,1.0,6.0,0.0,0.0,2.0,0.09899095,0.07003719000000001
81,André Gomes,118123,Attacking Mid/Winger,139,56.0,75.0,0.7466666666666667,27.0,2.0,0.20886792999999998,0.15533721819519997,0.023391949012875557,4.0,3.0,1.0,6.0,0.0,5.0,2.0,105.0,6.0,46.0,7.0,4.0,2.0,1.0,1.0,0.09717929,0.21087896
82,André Gomes,118123,Center Back,31,14.0,18.0,0.7777777777777778,10.0,0.0,0.09363615,0.0,0.0944645032286644,0.0,0.0,0.0,2.0,0.0,1.0,0.0,19.0,0.0,9.0,5.0,0.0,2.0,0.0,0.0,0.003605200000000001,0.04186408999999999
83,André Gomes,118123,Center Mid,351,141.0,180.0,0.7833333333333333,59.0,16.0,0.4009064,0.14232780039310455,0.1850869059562683,4.0,4.0,2.0,13.0,1.0,27.0,6.0,226.0,5.0,69.0,17.0,1.0,4.0,1.0,2.0,0.07100047000000001,0.34431383000000004
84,André Onana,260843,Goalkeeper,3410,1009.0,1383.0,0.7295733911785972,984.0,182.0,1.5521228500000002,0.0,0.1998179666697979,0.0,2.0,0.0,5.0,13.0,39.0,1.0,1601.0,0.0,0.0,147.0,0.0,3.0,0.0,1.0,0.24485236000000002,0.2605495
85,Andy Robertson,115726,Center Mid,33,36.0,48.0,0.75,17.0,1.0,0.19659064999999998,0.08902832865715027,0.2178809493780136,1.0,0.0,0.0,1.0,0.0,1.0,0.0,51.0,2.0,29.0,4.0,4.0,2.0,0.0,0.0,0.07129141,0.15420667000000002
86,Andy Robertson,115726,Full Back,1687,1122.0,1391.0,0.8066139468008627,526.0,44.0,4.87994709,1.4699495136737823,5.238332897424698,11.0,34.0,13.0,13.0,13.0,95.0,28.0,1589.0,48.0,477.0,134.0,34.0,64.0,10.0,4.0,0.9834548799999999,2.4528622799999997
87,Anel Ahmedhodzic,326642,Center Back,2712,715.0,943.0,0.7582184517497349,447.0,45.0,1.33049571,3.595001807436347,0.8019742481410503,19.0,59.0,32.0,46.0,48.0,99.0,58.0,1311.0,33.0,105.0,61.0,21.0,6.0,6.0,11.0,0.4787601699999999,2.31069697
88,Anel Ahmedhodzic,326642,Full Back,72,13.0,22.0,0.5909090909090909,9.0,0.0,0.017976489999999998,0.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,2.0,36.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0032505,0.11919093
89,Angelo Ogbonna,23547,Attacking Mid/Winger,20,0.0,0.0,,0.0,0.0,0.04525891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Angelo Ogbonna,23547,Center Back,556,134.0,167.0,0.8023952095808383,87.0,8.0,0.15346306,0.035438526421785355,0.0,1.0,9.0,2.0,3.0,5.0,9.0,5.0,222.0,4.0,4.0,14.0,0.0,1.0,0.0,1.0,0.027900039999999994,0.19559749999999998
91,Angelo Ogbonna,23547,Full Back,1,0.0,0.0,,0.0,0.0,0.019448629999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Anis Ben Slimane,425353,Attacking Mid/Winger,265,42.0,61.0,0.6885245901639344,12.0,0.0,0.09067023,0.03224683180451393,0.060520291328430176,1.0,5.0,2.0,5.0,5.0,18.0,8.0,105.0,2.0,24.0,2.0,0.0,1.0,0.0,0.0,0.032622269999999995,0.12507613
93,Anis Ben Slimane,425353,Center Back,26,1.0,5.0,0.2,1.0,0.0,0.062228430000000015,0.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,1.0,15.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034455040000000006
94,Anis Ben Slimane,425353,Center Mid,93,28.0,42.0,0.6666666666666666,15.0,1.0,0.12469519999999998,0.13682974502444267,0.06708531826734543,3.0,2.0,1.0,3.0,1.0,10.0,2.0,67.0,6.0,24.0,3.0,1.0,1.0,2.0,0.0,0.0634496,0.11115552000000001
